date,Close,Open,High,Low,Volume,Score0,Distance0,Score1,Distance1,Score2,Distance2,Score3,Distance3,Score4,Distance4
Mon Dec 02 15:53:00 CET 2019,1291.19,1290.74,1291.19,1290.74,3571,0.513257,512000,-0.304175,720000,0.0,3342000,-0.651828,3799000,0.826769,4499000
Mon Dec 02 14:31:00 CET 2019,1290.27,1290.26,1290.3917,1290.26,1230,0.720074,3588000,0.97311,3660000,0.580087,6481000,0.301296,9060000,-0.43028,10002000
Mon Dec 02 15:24:00 CET 2019,1289.56,1290.19,1290.4,1289.56,2697,0.0,1602000,-0.651828,2059000,0.826769,2759000,0.720074,6768000,0.97311,6840000
Mon Dec 02 15:01:00 CET 2019,1290.53,1290.78,1290.78,1290.49,1350,0.0,222000,-0.651828,679000,0.826769,1379000,0.720074,5388000,0.97311,5460000
Mon Dec 02 14:54:00 CET 2019,1290.5625,1290.5625,1290.5625,1290.5625,930,-0.651828,259000,0.826769,959000,0.720074,4968000,0.97311,5040000,0.580087,7861000
Mon Dec 02 15:47:00 CET 2019,1292.9,1292.825,1293.01,1292.64,0,0.513257,152000,-0.304175,360000,0.0,2982000,-0.651828,3439000,0.826769,4139000
Mon Dec 02 15:09:00 CET 2019,1289.0125,1289.12,1289.12,1289.0,1347,0.0,702000,-0.651828,1159000,0.826769,1859000,0.720074,5868000,0.97311,5940000
Mon Dec 02 15:18:00 CET 2019,1290.865,1290.8075,1291.0,1290.69,2675,0.0,1242000,-0.651828,1699000,0.826769,2399000,0.720074,6408000,0.97311,6480000
Mon Dec 02 14:48:00 CET 2019,1291.25,1291.21,1291.3,1291.14,1980,0.826769,599000,0.720074,4608000,0.97311,4680000,0.580087,7501000,0.301296,10080000
Mon Dec 02 14:25:00 CET 2019,1289.67,1289.48,1289.67,1289.38,1435,0.720074,3228000,0.97311,3300000,0.580087,6121000,0.301296,8700000,-0.43028,9642000
Mon Dec 02 14:19:00 CET 2019,1288.75,1288.75,1288.75,1288.75,276,0.720074,2868000,0.97311,2940000,0.580087,5761000,0.301296,8340000,-0.43028,9282000
Mon Dec 02 14:51:00 CET 2019,1291.25,1291.25,1291.25,1291.25,1326,-0.651828,79000,0.826769,779000,0.720074,4788000,0.97311,4860000,0.580087,7681000
Mon Dec 02 15:50:00 CET 2019,1291.2,1291.13,1291.2,1291.13,2244,0.513257,332000,-0.304175,540000,0.0,3162000,-0.651828,3619000,0.826769,4319000
Mon Dec 02 15:33:00 CET 2019,1288.61,1288.52,1288.61,1288.47,2614,0.0,2142000,-0.651828,2599000,0.826769,3299000,0.720074,7308000,0.97311,7380000
Mon Dec 02 14:57:00 CET 2019,1290.74,1290.4,1290.74,1290.4,1730,-0.651828,439000,0.826769,1139000,0.720074,5148000,0.97311,5220000,0.580087,8041000
Mon Dec 02 15:58:00 CET 2019,1289.6782,1289.64,1289.89,1289.19,6435,0.513257,812000,-0.304175,1020000,0.0,3642000,-0.651828,4099000,0.826769,4799000
Mon Dec 02 14:36:00 CET 2019,1291.0,1290.88,1291.0,1290.39,3424,0.720074,3888000,0.97311,3960000,0.580087,6781000,0.301296,9360000,-0.43028,10302000
Mon Dec 02 14:40:00 CET 2019,1290.28,1290.03,1290.43,1290.03,1428,0.826769,119000,0.720074,4128000,0.97311,4200000,0.580087,7021000,0.301296,9600000
Mon Dec 02 15:27:00 CET 2019,1289.0275,1289.02,1289.08,1289.02,554,0.0,1782000,-0.651828,2239000,0.826769,2939000,0.720074,6948000,0.97311,7020000
Mon Dec 02 15:41:00 CET 2019,1290.755,1290.11,1290.755,1289.96,3930,0.0,2622000,-0.651828,3079000,0.826769,3779000,0.720074,7788000,0.97311,7860000
Mon Dec 02 15:06:00 CET 2019,1289.515,1289.76,1289.95,1289.515,2864,0.0,522000,-0.651828,979000,0.826769,1679000,0.720074,5688000,0.97311,5760000
Mon Dec 02 14:22:00 CET 2019,1288.92,1289.04,1289.04,1288.78,2200,0.720074,3048000,0.97311,3120000,0.580087,5941000,0.301296,8520000,-0.43028,9462000
Mon Dec 02 15:44:00 CET 2019,1291.4524,1291.5,1291.67,1291.4524,2935,-0.304175,180000,0.0,2802000,-0.651828,3259000,0.826769,3959000,0.720074,7968000
Mon Dec 02 14:43:00 CET 2019,1290.4,1290.36,1290.4,1290.11,2417,0.826769,299000,0.720074,4308000,0.97311,4380000,0.580087,7201000,0.301296,9780000
Mon Dec 02 14:16:00 CET 2019,1288.11,1287.51,1288.75,1287.51,1981,0.720074,2688000,0.97311,2760000,0.580087,5581000,0.301296,8160000,-0.43028,9102000
Mon Dec 02 15:59:00 CET 2019,1289.77,1289.66,1289.9,1289.3,11812,0.513257,872000,-0.304175,1080000,0.0,3702000,-0.651828,4159000,0.826769,4859000
Mon Dec 02 15:38:00 CET 2019,1290.02,1290.0481,1290.08,1289.86,3687,0.0,2442000,-0.651828,2899000,0.826769,3599000,0.720074,7608000,0.97311,7680000
Mon Dec 02 15:30:00 CET 2019,1288.62,1289.15,1289.15,1288.62,2446,0.0,1962000,-0.651828,2419000,0.826769,3119000,0.720074,7128000,0.97311,7200000
Mon Dec 02 15:13:00 CET 2019,1289.53,1289.14,1289.66,1289.14,2467,0.0,942000,-0.651828,1399000,0.826769,2099000,0.720074,6108000,0.97311,6180000
Mon Dec 02 15:55:00 CET 2019,1288.8,1290.82,1291.47,1288.8,13748,0.513257,632000,-0.304175,840000,0.0,3462000,-0.651828,3919000,0.826769,4619000
Mon Dec 02 14:33:00 CET 2019,1290.18,1290.18,1290.18,1290.18,716,0.720074,3708000,0.97311,3780000,0.580087,6601000,0.301296,9180000,-0.43028,10122000
Mon Dec 02 15:49:00 CET 2019,1291.2,1291.8928,1291.8928,1291.18,3526,0.513257,272000,-0.304175,480000,0.0,3102000,-0.651828,3559000,0.826769,4259000
Mon Dec 02 14:52:00 CET 2019,1290.8,1291.335,1291.335,1290.8,1126,-0.651828,139000,0.826769,839000,0.720074,4848000,0.97311,4920000,0.580087,7741000
Mon Dec 02 15:26:00 CET 2019,1289.01,1289.52,1289.52,1289.01,2446,0.0,1722000,-0.651828,2179000,0.826769,2879000,0.720074,6888000,0.97311,6960000
Mon Dec 02 15:07:00 CET 2019,1289.63,1289.8,1290.04,1289.54,1529,0.0,582000,-0.651828,1039000,0.826769,1739000,0.720074,5748000,0.97311,5820000
Mon Dec 02 14:46:00 CET 2019,1291.65,1291.26,1291.65,1291.26,1454,0.826769,479000,0.720074,4488000,0.97311,4560000,0.580087,7381000,0.301296,9960000
Mon Dec 02 15:12:00 CET 2019,1289.225,1289.19,1289.38,1289.19,2138,0.0,882000,-0.651828,1339000,0.826769,2039000,0.720074,6048000,0.97311,6120000
Mon Dec 02 15:35:00 CET 2019,1290.0,1289.125,1290.0,1289.125,2645,0.0,2262000,-0.651828,2719000,0.826769,3419000,0.720074,7428000,0.97311,7500000
Mon Dec 02 14:27:00 CET 2019,1289.63,1289.48,1289.6927,1289.48,1010,0.720074,3348000,0.97311,3420000,0.580087,6241000,0.301296,8820000,-0.43028,9762000
Mon Dec 02 15:52:00 CET 2019,1290.38,1289.71,1290.38,1289.291,4128,0.513257,452000,-0.304175,660000,0.0,3282000,-0.651828,3739000,0.826769,4439000
